JUDGMENT,Summarized_text,Labels,Scores
" O R D E R Leave granted. Notification under Section 4(1) of the Land Acquisition Act, 1894  (for short  the ’Act’) was published on September 16,  1981   acquiring  3  acres  17  decimals  of  land  for Suvarnarekha Project.  The Land  Acquisition Officer  by his award  dated  September  3,  1985  granted  compensation  at Rs.14,445/- per  acre. On  reference, the  Subordinate Judge enhanced it  to Rs.15,055/- per acre. Both the State as well as the  claimants filed  the appeals  in the High Court. The High Court  in the  impugned judgment in FA No.105 and 93 of 1987  dated  June  1,  1993  enhanced  the  compensation  to Rs.45,000/- per  acre treating the acquired land in Don I as cultivable land.  It also  granted Rs.20,000/-  towards  the well  and  statutory  solatium  and  interest.  Thus,  these appeals by special leave. The question  that arises for consideration is: whether the High  Court was  justified in enhancing the compensation to Rs.45,000/-  per acre? The High Court has relied upon the sale deed Ext.3/A dated March 16, 1981 pertaining to lead of an extent  of 25 decimals of Don-II lands and 14 decimals of Don-I lands  sold for  consideration of Rs.16,000/-. It also relied upon another sale deed of the year 1983 with value of Rs.1,10,000/- per  decimal, in  other words, Rs.45,000/- per acre. Unfortunately,  neither the  vendor nor the vendee has been examined in proof of passing of the consideration under the sale  deed etc.  Only a  clerk of  the Sub-registrar was called as  witnesses to  prove the  sale deeds which are the certified copies  of the sale deeds. No doubt, under Section 51-A of  the Act,  the certified  copy of  the sale  deed is admissible as  evidence to  get over the difficulties of the owner of  the document  would not produce the original title deeds. The  clerk  of  the  Sub-registrar  has  proved  that material as secondary evidence but other factors aliunde has to be established that the sale deed offers comparable value for determining the compensation at Rs.45,000/- per acre. http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 This Court  had elaborately  considered and  laid  this principle of  law in a catena of decisions, the latest being R.Ram Reddy & Ors. vs. Land Acquisition Officer, Hyderadad & Urban Development  Authority, Hyderabad & Ors. [(1995) 2 SCC 305]. Therefore, it needs no reiteration. But, the  fact is that the lands are situated very near to the  national highway  but 4 km. away from the Jamshedpur city. Under  these circumstances,  taking into consideration the facts  and circumstances,  we are  of the  view that the reasonable compensation  would be  Rs.22,000/- per acre. The claimants are  not entitled  to the  value of  the well i.e, Rs.20,000/- since  the well was being used for irrigation of the land.  For the reason, it cannot be separately valued as held by  this Court in O.Janardhan Reddy & Ors. vs. Spl. Dy. Collector, L.A Unit-IV, LMD, Karimnagar, A.P. & Ors. [(1994) 6 SCC 456]. The appeals  are accordingly partly allowed. The market value of  lands is  determined at  Rs.22,000/- per acre with solatium and  interest and  also additional  amount  as  per Section 23(2)  @ 30%  on the enhanced compensation, interest under Section  28 for the first year at 9% and thereafter at 15% on  the enhanced  compensation from  the date  of taking possession till  date of  deposit. They are also entitled to the additional  amount at  12% p.a. under Section 23(1-A) of the Act  from date  of notification  under section 4(1) till date of  award or taking possession whichever is earlier. No costs.","The High Court has relied upon the sale deed Ext.3/A dated March 16, 1981 pertaining to lead of an extent  of 25 decimals of Don-II lands and 14 decimal ofDon-I lands. It also relied upon another sale deed of the year 1983 with value of Rs.1,10,000/- per  decimal. The High Court  in the impugned judgment in FA No.105 and 93 of 1987  dated  June 1, 1993  enhanced  the  compensation  to Rs.45,000 per acre treating the acquired land in Don I as cultivable land.",special leave petitions,31.06
" CRIMINAL APPELLATE  JURISDICTION :  Criminal Appeal No. 363 of 1979. 149 Appeal by  Special Leave  from the  Judgment and  order dated 28-3-1979  of the  Rajasthan High  Court in  S.B. Crl. Misc Application No. 128/78. Ram Jethmalani and N. H. Hingorani for the Appellant. Badridas Sharma for the Respondent. The order of the Court was delivered by SARKARIA, J.  This appeal  by special leave is directed against an  order, dated  March 28,  1979, whereby  the High Court of  Rajasthan dismissed  the  appellant’s  application under Section  482, Criminal  Procedure Code  and refused to set aside  an order  dated August  14, 1978  of the Sessions Judge framing a charge under Section 201, Penal Code against the appellant. The prosecution  case as  put in Court is that on March 4, 1978,  one Padam  Singh was  shot dead at the farm of the appellant by  the accused, Doongar Singh, in conspiracy with the  accused,   Hanif  and  Shambhoo  Singh.  Padam  Singh’s deadbody was  first put  in a  jeep for removal. After going some distance  the  jeep  went  out  of  order.  Thereafter, Doongar Singh brought the car of the appellant. The deadbody was then  transhipped into  the car (RJF 2118) and was taken to a  distance and thrown into a lonely well on the boundary of village,  Ramasani. Doongar  Singh then  brought the  car back to Mohan Singh’s bungalow where it was washed [vide the Police report  of A.S.P.  City (West)  Jodhpur]. It  is  not alleged that the appellant was in any manner concerned as an abettor or  accomplice in  the  murder  or  participated  or abetted the  removal and  disposal of  the deadbody of Padam Singh. The  only allegation  on the  basis of which a charge under Section 201, Indian Penal Code has been framed against the appellant  is that  on March 8, 1978, that is, five days after the  murder of  Padam Singh,  he got his car washed at the Petrol  Pump of  one Umrao Khan. In this connection, the investigating Police  Officer examined  Sardar Khan  son  of Umrao Khan,  Petrol Pump  dealer and  his servant, Mangilal. There is  nothing in  their statements  that there  was  any blood on  the car which was washed. There was not an iota of material on  the record  to furnish  basis even  for a grave suspicion that  by getting  the car washed on the 8th March, 1978, the  appellant caused  any  blood  or  other  evidence concerning the  murder of  Padam Singh,  to  disappear.  The presence of  bloodstains on  the car  on the 8th March stood negatived by  the prosecution’s own assertion (in the police challan) that  Doongar Singh  had got  the blood  on the car washed on the day of the murder, itself. The mere 150 washing of  the car  on the  8th March  could  not,  by  any stretch of  imagination, be  prima  facie  evidence  of  the factual ingredients  of an  offence under Section 201, Penal Code. The  impugned order  of the Sessions Judge being based on no evidential material, whatever, was manifestly illegal. We, therefore,  allow this  appeal, set  aside the  impugned Order and quash the charge framed against the appellant. S.R.                                         Appeal allowed. 151 http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 3 of 3","The prosecution case as put in Court is that on March 4, 1978, one Padam  Singh was shot dead at the farm of the appellant by the accused, Doongar Singh. The deadbody was then transhipped into the car and was taken to a distance and thrown into a lonely well on the boundary of village, Ramasani. It is not alleged that the appellant was in any manner concerned as an abettor or accomplice in the murder or participated  or abetted the removal and disposal of the deadbody of Padam Singh.",special leave petitions,28.11
" JUDGMENT O   R   D   E   R TRANSFER PETITION (C.) NOS. 430-432 OF 2007 WITH TRANSFER PETITION (C.) NOS. 448-450 OF 2007 UNION OF INDIA & ORS.                           \005PETITIONER (S) VERSUS RAMA GOPALAN & ORS.                            \005RESPONDENT (S) Issue notice. Learned counsel appears and accepts notice on behalf of the respondents. Heard both sides. The petitioners in both these petitions seek transfer of three writ petitions, i.e., W.P. No. 18076 of 2007 (Rama Gopalan Vs. Union of India & Ors.), W.P. No. 18223 of 2007 (Dr. Subramanian Swamy Vs. Union of India & Ors.) and W.P. No. 18224 of 2007 (Dr. Subramanian Swamy  Vs. Union of India & Ors.), pending before the High Court of Judicature at Madras to this Court.  The matters are concerning the Setusamudram Project.  The petitioners have alleged that earlier there was a writ petition filed by some other petitioner alleging that the project would cause serious environmental problems.  That writ petition was disposed of finally by the High Court and the Special Leave Petitions (SLP (C.) No. 19176/2005 and SLP (C.) No. 20758/2005)  are now pending before this Court.    In the batch of writ petitions pending before the High Court, the petitioners therein have raised certain other objections and contended that there may be an alternative alignment of the project so that it may not cause any damage to the Adam’s Bridge/Rama Setu which is in existence, according to the petitioners in the writ petitions.  The writ petitioners have also alleged that there should be a detailed archaeological survey regarding the project.  The Division Bench of the High Court issued notices in the writ petitions and by its detailed order on 19th June, 2007, the High Court has also given a direction to the Union of India to disclose whether any archaeological survey was done to consider Adam’s Bridge/Rama Setu can be regarded as a National Monument http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 under the Ancient Monuments as Archaeological Sites and Remains Act, 1958.  Certain issues in the matters pending before us and the writ petitions before the High Court are common.  In all these proceedings the petitioners are opposing the project and have raised various questions. In view of the pending proceedings before this Court and in the interest of justice that the writ petitions which are pending before the High Court of Madras are transferred to this Court.  Accordingly, the transfer petitions are allowed. As the High Court has given certain directions in the pending writ petitions, the respondents in the writ petitions who were the petitioners before this Court shall file a detailed affidavit in the transferred cases, indicating their stand,  and the steps taken by them. The Transferred Cases shall be listed with the pending Special Leave Petitions after four weeks.","Petitioners in both these petitions seek transfer of three writ petitions, i.e., W.P. No. 18076 of 2007 (Rama Gopalan Vs. Union of India & Ors.) and W. P. no. 18224 of 2007. The matters are concerning the Setusamudram Project.",transfer,61.99
" O R D E R This special  leave petition is filed against the order of the  Orissa Administrative  Tribunal at Cuttack passed on December 6, 1996, in Transfer Application No.610/87. Admittedly, the  petitioner, while working as Lecturer, had appeared  in competitive examination and was selected to the Orissa  Administrative Service. As Orissa Administrative Service, Class-II,  his  scale  of  pay  was  Rs.525-1150/-. Earlier, also  when he  worked as Lecturer, the scale of pay was Rs.525-1150/-  which was  subsequently  revised  by  the University Grants Commission w.e.f. April 1, 1974 to Rs.700- 1600/-. In  that pay  scale, his pay fixed at Rs.780. He was paid  arrears  of  salary  with  retrospective  effect  from 1.1.1974. After  he was selected and appointed to the Orissa Administrative Service,  he sought  protection of  his  last drawn pay  and his  upgraded fitment in the pay scale in the Orissa Administrative Service. The Tribunal has rejected the claim. Thus this special leave petition. Shri Janaranjan  Das, learned counsel appearing for the petitioner, contends  that since  the  petitioner  had  been given the pay scale with retrospective effect from 1.1.1974, on his appointment to the Orissa Administrative Service, his last drawn pay need to be protected. As per the instructions of the  Accountant General,  his pay is entitled to be fixed at Rs.780/-  in the  pay scale  in  the  service  of  Orissa Administrative Service.  We find no force in the contention. The service  as a  Lecturer is  entirely different  from the service of the Orissa Administrative Service. Merely because he happened to work earlier as a Lecture and in the same pay scale which was subsequently revised, he cannot be permitted to have  the benefit  of U.G.C.  scale in the Administrative Service and  fitment in  the pay-scale  on that  basis. That would create  imbalance and  gross infraction and distortion and would  result in  flood of  claims of similarly situated persons under  Article 39(d) of the Consitution. Under these circumstances, such  a course  cannot  be  permitted  to  be adopted. The special leave petition is dismissed accordingly. http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2","The special leave petition is filed against the order of the Orissa Administrative Tribunal at Cuttack passed on December 6, 1996, in Transfer Application No.610/87. Admittedly, the petitioner, while working as Lecturer, had appeared in competitive examination and was selected to Orissa  Administrative Service. The Tribunal has rejected the claim.",special leave petitions,39.3
" Affidavits have  been filed  on behalf  of the District Collectors of  Uttarkashi and  Tehri Garwal.  As regards the claimants in Uttarkashi District. It was  ultimately found  that only  four  persons  are eligible. Claim  of 13  persons have  been rejected  on  the ground either  that Karta  of the joint family has been paid and houses  have already been rebuilt or claims have already been  settled.   Under  these   circumstances,  so   far  as Uttarkashi is  concerned, there  are no  eligible earthquake victims left out. With regard  to the  Tehri District,  the Collector has given the  details. Names of 6978 have been received. Out of them they  verified 6071.  907 are  pending verification and compensation has  already been received by 1500 people. 3844 were found  to be  not eligible.  576  people  though  found eligible, have  not come  forward to  receive  compensation. Therefore, they have not been paid. 151 claimants were minor and, therefore,  they are  not entitled  to the  payment  of compensation. In view  of these  facts, we  do  not  think  that  any further purpose will be served in keeping the matter pending since substantially  required work  has  been  done  by  the District Collector  of Tehri.  However, with  regard to  the pending 907  claims for verification, the District Collector is directed  to have  them verified  within a  period of two months from  the date  of the receipt of this order and make payment to  such of  those who are found eligible. As to 576 persons whose claims were found to be eligible, the District Collector is  directed to  issue notice  to them  within one month of  receipt of  this  order  and  make  payment  after verifying that  they are genuine persons eligible to receive the compensation.  This verification  may be got done in the presence of the Patwari of the village concerned. The writ petition is accordingly disposed of. No costs. http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2",Claims of 13 persons rejected on the ground that Karta of the joint family has been paid and houses have already been rebuilt. Affidavits have  been filed  on behalf of the District Collectors of  Uttarkashi and Tehri Garwal.,civil,26.47
" JUDGMENT KAPADIA, J. Although, I respectfully agree with the conclusion contained in the opinion of brother, Arijit Pasayat, the importance of the scoring system in the tender process has impelled me to elucidate and clarify certain crucial aspects. Hence, this separate opinion. The basic controversy in the present case is: whether the E.C. had exceeded its authority in the assessment of technical pre-qualification. In the scoring system objectivity has an important role to play (Clause 5.4).  In the scoring system the identification of factors (including sub-factors), allocation of marks to each of these factors (including sub-factors) and giving of marks are three distinct and different stages.  Clause 5.4 dealt with assessment of technical pre-qualifications.  Under that clause a scoring system was to be applied based on the assessment of the Terms of the Offer against the Technical Pre-qualification criteria.  It further stipulated that assessment shall be on absolute basis and not relative as between the offers.  Under the said system, each factor had to be allocated certain marks. Objectivity had to be provided in the allocation of marks (and not in giving of marks) to each factor (including sub-factors). This was not done.  For example, RFP required certain marks to be allocated for absorption of existing staff.  Greater the absorption, higher the marks to be given.  In the present case, the E.C. changed the factor, namely, ""absorption of employees"" to the overall approach.  This led to change in priority. Similarly, in the RFP, the factor earmarked was ""property development"" which E.C. compared to ""infrastructure development"".  Experience in property development is different from experience in infrastructure development.  Similarly, RFP had given weightage to aeronautical revenue whereas in allocation of marks, E.C. obliterated the difference between aeronautical and non-aeronautical revenues.  The above examples are given only to show that objectivity which was the underlying principle underlying clause 5.4 is completely lost either by expanding the enumerated factors like aeronautical revenue, overall capability vis-‘-vis capacity to absorb existing work-force and comparison of property development with infrastructure development or by allocating un-even marks to sub-factors.  In my view, E.C. had no business to expand or narrow down the scope of any of the above factors as it was beyond its authority and contrary to the scoring system. http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 With these words, I agree with the conclusion contained in the opinion of brother, Arijit Pasayat.",The basic controversy in the present case is: whether the E.C. had exceeded its authority in the assessment of technical pre-qualification. In the scoring system objectivity has an important role to play. Objectivity had to be provided in the allocation of marks (and not in giving of marks) to each factor (including sub-factors),civil,34.62
" (WITH SLPs 19513 & 19057/1997) THE 13TH DAY OF FEBRUARY, 1998 Present: Hon’ble the Chief Justice Hon’ble Mr. Justice B. N. Kirpal Hon’ble Justice M. Srinivasan Mr. T.C.  Sharma, Ms. Neelam Sharma, Mr. Ajay Sharma and Mr. Rupesh Kumar, Advocates for the petitioner. Mr. S.  K. Jain  and  Mr.A.P.  Dhamija,  Advocates  for  the respondents. O R D E R The following Order of the Court was delivered: (WITH SLPs 19513 & 19057/1997) Occasional   aberrations   such   as   these,   whereby ineligible students  are permitted,  under court  orders, to undertake Board  and/or University examinations, have caught the attention  of this  Court many  a time.  To  add  to  it further, the  courts have  almost always  observed that  the instance of  such aberrations  should not  be treated  as  a precedent in future. Such casual discretions by the Court is nothing but  an abuse  of the process; more so when the High Court  at  its  level  itself  becomes  conscious  that  the decision  was  wrong  and  was  not  worth  repeating  as  a precedent. And  yet it  is repeated  time and  again. Having said this much, we hope and trust that unless the High Court can justify its decision on principle and precept, it should better desist  from passing  such orders,  for it  puts  the ’Rule of Law’ to a mockery, and promotes rather the ’Rule of Man’. All the  same, fond  hopes were  raised in the minds of the students,  herein, Therefore,  we decline  to  interfere under Article  136 of  the Constitution.  The  S.L.Ps.  are, accordingly, dismissed.","The S.L.Ps. are, accordingly, dismissed under Article 136 of the Constitution. The following Order of the Court was delivered: (WITH SLPs 19513 & 19057/1997)",civil,30.22
" JUDGMENT O R D E R CIVIL APPEAL NO.  6559    OF 2002 Application for intervention is dismissed. Heard the parties. Briefly stated the facts are as follows: The appellant belongs to Scheduled Castes.   He was appointed as an Engineering Supervisor in the Agricultural Market Committee.  The service condition of the respondent was then governed by the Andhra Pradesh (Agricultural Produce and livestock) Market Service Rules 1969.  On 23.9.1994 the respondent was transferred to the Central Market Fund Service.  Central Market Fund Service was governed by the Service Rules of 1984.   Clause 3 of Rule 6 inter alia states that the provisions of Andhra Pradesh State and Subordinate Service Rules, Andhra Ministerial Service Rules on matter not covered by these rules shall be applicable to the members of the service.  Rule 22 of the General Rules, provides  for reservation.  Rule 22(a) provides that the unit of appointment for the purpose of this rule shall be one hundred of which fifteen shall be reserved for the Scheduled Castes, six shall be reserved for the Scheduled Tribes, twenty-five shall be reserved for the backward classes and the remaining fifty-four appointments shall be on the basis of open competition. -2- It is urged by the learned counsel for the appellant that the Division Bench of the High Court has allowed the writ petition by upsetting the findings of the Tribunal erroneously. We have considered the provisions of Rule 6 which deals with application of the general Rules.  It is contended that Rule 6 should be considered in perspective along with Rule 22 of the general Rules. The appellant belonged to Scheduled Castes and hence it s alleged that he is entitled to be considered from the 15% reservation as contained in Rule 22(a) of the Rules. We have gone through the entire judgment of the High Court impugned herein.  The question of  application of Rule 6 read with Rule 22 of the general Rules has not been considered by the High Court.  On this short question we set aside the impugned order of the High Court and the matter is remanded to the High Court to consider the application of Rule 6 http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 of the Central Service Rules along with Rule 22(a) of the general Rules as referred to above. Since the matter is quite old we request the High Court to consider the matter afresh expeditiously and pass appropriate orders in accordance with law. The Appeal is disposed of accordingly.",The appellant belongs to Scheduled Castes. He was appointed as an Engineering Supervisor in the Agricultural Market Committee. The service condition of the respondent was then governed by the Andhra Pradesh (Agricultural Produce and livestock) Market Service Rules 1969.,civil,48.31
" CIVIL APPELLATE  JURISDICTION: Civil Appeal No. 1068 of 1987. From the  Judgment and Order dated 16.5.86 of the Patna High Court in Civil Writ Jurisdiction Case No. 2523 of 1981. A.K. Sil and S.K. Sinha for the Appellants. D.N. Goburdhan for the Respondents. The following Order of the Court was delivered: O R D E R The 1st  respondent-Subodh Chandra  is  working  as  an operator   grade-III    under   the   Hindustan   Fertilizer Corporation Ltd.  at Sindhri.  The date of birth recorded in the  register   maintained  by   the  Hindustan   Fertilizer Corporation Ltd. was 1.6.1931 and in the usual course he has to retire from service on 1.6.1989 on completion of 58 years of age. He, however, filed a writ petition in the High Court of Patna  claiming that  his date of birth should be altered to 20th October, 1938. In support of his case he relied on a certificate issued  by the  Chief Medical  Officer, Sindhri. The petition  was  contested  by  the  Hindustan  Fertilizer Corporation of  India Ltd. After hearing the learned counsel for the  parties, the  learned Judge  who heard the petition held that  it was not possible to accept the case of the 1st respondent that  he was born in the year 1938 and he further found that  the date of birth as recorded in the register of the Corporation  should not  be interfered with. The learned Judge, however, passed the following order: ""S. Shamsul  Hasan, J.:  After the matter had been heard at  great length  and legal and factual pros and cons  had been  examined it  appeared that the year of  the birth  of the  petitioner being  1931 cannot   be    assailed   nor   interfered   with. Consequently,  Mr.   Ojha  felt   that  since  the petitioner has  his problem domestic or otherwise- and he  in 1971  was in  fact given  to understand that  his  year  of  birth  would  be  1938,  some compassionate endowment may be made in his favour. I am entirely in agreement with Mr. Ojha. I, therefore,  dispose  of  this  application with an  expression of  my desire,  which  may  be treated as  a mandate,  that the petitioner may be given three more years of service as a 864 special case  after his  due date  of  retirement, which could  be done  by reappointing him for that period. It  is made  clear that  this may  not  be treated as  a precedent  for any other employee of the Institution or in any other case."" We are  of opinion that the learned Single Judge having found that  the date  of birth  of  the  1st  respondent  as recorded in the register of the appellant-Corporation should not be  interfered with, committed a serious error in making an order  directing the  appellant-Corporation ’as a special case’ to  reappoint the 1st respondent for a period of three more years  after his  ’due date  of retirement’,  which  is 1.6.1989. There  was hardly  any justification  for  passing such an  order under  Article 226  of the  Constitution. The reason given  by the  High Court  is wholly  untenable. This appeal filed  by the Corporation against the order passed by http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 3 of 3 the learned  Single Judge  before this Court has, therefore, to be  allowed. We  set aside the judgment of the High Court and dismiss  the writ  petition filed by the 1st respondent. The appeal is disposed of accordingly. No order as to costs. N.P.V.                                       Appeal allowed. 865","Subodh Chandra is working as an operator   grade-III under the Hindustan   Fertilizer Corporation Ltd. The date of birth recorded in the register of the corporation was 1.6.1931. Chandra filed a writ petition in the High Court of Patna claiming that his date of. birth should be altered to 20th October, 1938. The petition was contested by the Hindustan Fertiliser Corporation of India Ltd.",civil,25.52
" CIVIL APPELLATE JURISDICTION: CIVIL Appeal No. 4160 of 1985. 852 http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 3 From the  Judgment and Order dated 25.6.1984 of the Kerala High Court in T.R.C. No. 19 of 1984. V. J. Francis for the Appellant. T.  M. Ansari,  Markose Vellapally and D. N. Misra for the Respondent. The Judgment of the Court was delivered by BHAGWATI,  J.  The  sole  question  which  arises  for determination in  this appeal  is as  to what is the rate at which the  goods which  had been purchased earlier and which were in  stock with  the assessee on 30-6-74 were assessable to purchase  tax when  the purchases  were found  to be last purchases as  a result of events which took place subsequent to 30.6.1974.  This question  has become  material since the rate of purchase tax was increased from 3% to 5% with effect from 1st  July, 1974.  Now it is not disputed in the present case that  the purchases  of goods  effected by the assessee prior to  30-6-74  were  last  purchases  within  the  State because the  goods purchased  which were in stock on 30.6.74 were subsequently  sold by  the assessee  in the  course  of inter-state trade or commerce which means that they were not sold within the State and hence the assessee was clearly the last purchaser  within the  State and  as such was liable to pay purchase  tax under Item 71 of the First Schedule to the Kerala General  Sales Tax  Act. Equally it is clear that the assessee could  not be  made liable  to tax on the purchases made by  it prior  to 30th  June 1974,  unless the purchases acquired the  quality of  being last purchases in the State. It was  pointed out by this Court in State of Madras v. Shri T. Narayanaswami  Naidu & Anr.(1) when the assessee ""files a return and  declares the  stock in  hand, the  stock in hand cannot be  said to  have  been  acquired  by  last  purchase because he  may still  during the next assessment year, sell it or  he may  consume  it  himself  or  the  goods  may  be destroyed, etc.  He would  be entitled  to claim  before the assessing authorities  that the  character of acquisition of the stock in hand was undermined; in the light of subsequent events it may or may not become the last purchase inside the State."" There can therefore be no doubt that the assessee in the present  case became  liable to pay tax on the purchases made by  it prior  to 30th  June, 1974, as soon as it became determined though  subsequent to  30th June 1974, that these purchases were  last purchases  inside the  State  and  were consequently exigible to tax. (1) [1967] 3 S.C.R. 622. 853 But the  question remains  as to  what is  the rate  at which the  A assessee  was liable  to be taxed in respect of these purchases.  Since the purchases took place before 30th June 1974,  the assessee would, in our opinion, liable to be taxed at  the rate prevailing at the time when the purchases were made  and since the rate at the time was 3% of the sale price, the  High Court was right in taking the view that the purchases made  by the assessee prior to 30th June 1974 were taxable at  the rate  of 3%. We may point out that a similar view has  been taken  by the  Kerala  High  Court  in  Seaso Rubbers  v.   State  of  Kerala(1).  We  find  ourselves  in agreement with  the reasoning  adopted by  the Full Bench of the High Court in that case. We  accordingly reject the appeal but with no order as to costs. M.L.A.                                      Appeal dismissed (1) 38 S.T.C. 256 854 http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 3 of 3","Kerala High Court in T.R.C. No. 19 of 1984. The Judgment of the Court was delivered by BHAGWATI,  J. Francis for the Appellant. T. Ansari,  Markose Vellapally and D. N. Misra for the Respondent.",barge hire charges,19.47
" JUDGMENT O R D E R CIVIL APPEAL NO. 4271 OF 2003 WITH Civil Appeal NO. 4277 of 2003 Civil Appeal NO. 4273 of 2003 Civil Appeal NO. 8702-8703 of 2003 Civil Appeal NO. 4274 of 2003 Civil Appeal NO. 4275 of 2003 Civil Appeal NO. 4276 of 2003 Heard learned counsel for the parties. Mr. C.A. Sundaram, learned senior counsel appearing for the appellant(s) fairly submits that he has given up all other contentions except that the appellant is willing to pay the electricity charges as per clause (1) of the Board’s order D.O. No. Plg.Cost.902/PC/86 dated 14/10/1988.  Mr. T.L.V. Iyer, learned senior counsel appearing on behalf of the respondent, however, brought to our notice clause (5) of the said order which stipulates that the special allocation of power over and above the quota during power cut period will be charged at 80 paise per unit, the rate applicable for imported energy.  Since the power cut has admittedly been lifted on 14/8/1986 and in view of clear order of the board in clause(1) .....2. \026    2 - of the order, we are of the view that clause (5) of the order is not attracted in these case s and, therefore, the appellant(s) are covered by clause (1) of the Board’s order. Accordingly, we direct that the appellant(s) shall be charged electricity charges in terms of clause (1) of the Board’s order D.O. No. Plg.Cost.902/PC/86 dated 14/10/1988 in the ratio 25:75 on the actual consumption.  This would be in consonance with the Board’s order. Appeals are disposed of in the above terms.",The power cut has admittedly been lifted on 14/8/1986. We direct that the appellant(s) shall be charged electricity charges in terms of clause (1) of the Board’s order D.O. Plg.Cost. No.902/PC/86 dated 14/10/1988.,civil,75.4
" CIVIL  APPELLATE JURISDICTION: Civil Appeal No, 145 of 1960. Appeal  by special leave from the judgment and  order  dated March  18,  1958, of the Kerala High Court in  Tax  Revision Case No. 12 of 1957. V.A. Seyid Muhamad and Sardar Bahadur, for the appellant. C.K.   Daphtary,  Solicitor-General  of   India,   Thomas Vellapally, S. N. Andley, J. B.  Dadachanji, Rameshwar  Nath and P. L. Vohra, for the respondent. 1960.  December 15.  The Judgment of the Court was delivered by 286 http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 KAPUR,  J.-This  is an appeal by special leave  against  the judgment  and  order  of the High Court  of  Kerala  in  Tax Revision No. 12 of 1957. The  respondent who is the assessee owned an estate  of  590 acres  in South Malabar district, now in Kerala State.   Out of  that  area 85 acres were covered  by  Pepper,  Arecanut, Paddy and Coconut cultivation while the rest i.e. 505  acres had rubber plantations upon it.  Of that area 235 acres were occupied by immature non-bearing rubber trees and 270’ acres had mature rubber trees.  The assessment relates to the year 1955-56, the accounting year being the year ending March 31, 1955.   The  respondent  claimed  from  out  of  the  income expenses relating to the maintenance and upkeep of  immature non-bearing  rubber  trees.   The  Agricultural  Income  tax Tribunal  held that the expenses incurred on the whole  area under  rubber  plantations  were  deductible  expenses   and remanded the case for ascertaining the expenses incurred  in forking  and  manuring  of the  ""non-bearing  and  immature"" rubber  grown  areas also.  The appellant then  preferred  a revision application to the High Court under s. 54(1) of the Madras  Plantations Agricultural Income Tax Act, 1955  (Mad. V  of 1955).  The High Court held that the amount  spent  on the  upkeep and maintenance of immature rubber trees  was  a deductible  expenditure  under  s. 5(e) of  that  Act  which provides: S.5  ""Computation of agricultural  income: The  agricultural income of a person shall  be computed    after   making    the    following deductions, namely:.............................. :...........  (e) any expenditure incurred  in the previous year (not being in the nature  of capital  expenditure or personal  expenses  of the assessee) laid out or expended wholly  and exclusively    for   the   purpose   of    the plantation;"". The  provisions of s. 5(e) of the Madras Act, applicable  to the  present case, are the same as those of s. 5(j)  of  the Travancore  Cochin Agricultural Income Tax Act (Act XXII  of 1950).   The only difference is in the last few  words.   In place of ""for the purpose of the plantation"" in the former, the words ""for the purpose of 287 deriving  the agricultural income"" are used in  the  latter. If anything the words of the former Act are more  favourable to the respondent. In Travancore Rubber and Tea Company Ltd. v. Commissioner of Agricultural Income Tax, Kerala (1), which was an assessment under  the  Travancore  Cochin  Act,  we  have  decided  the question  of deductibility of sums expended for purposes  of forking, manuring etc. of immature rubber trees.  That judg- ment  will  govern this case also.   This  appeal  therefore fails and is dismissed with costs in this court and the High Court. Appeal dismissed ___________________","Appeal  by special leave from the judgment and order  dated March  18,  1958, of the Kerala High Court in Tax  Revision Case No. 12 of 1957. The appellant owned an estate of 590 acres in South Malabar district, now in Kerala State. Out of that area 85 acres were covered by Pepper, Arecanut, Paddy and Coconut cultivation while the rest i.e. 505  acres had rubber plantations upon it.",civil,21.37
