index,JUDGMENT,Summarized_text,Labels,Scores
1478," O R D E R Delay condoned. The special  leave petitions  arise from  the orders of the Administrative  Tribunal made on February 20, 1996 in OA No.290/95 and  batch.  The  petitioners  were  appointed  as Lecturers on  ad hoc  basis and  some of  them had  obtained M.Phil, Ph.D. also. When the regular recruitment through the Public Service  Commission [the ""Commission"", for short] was conducted,  the   petitioners  also   appeared  before   the Commission but  they were  not selected.  Subsequently,  the petitioners filed  petitions  for  regularisation  of  their services. In  the impugned  order, the  Tribunal has pointed out that  since posts  are  required  to  be  filled  up  by recruitment from the open market through the Commission, the Tribunal has  no power  to issue direction to regularise the services. Thus, these special leave petitions. Shri K.M.K.  Nair, learned counsel for the petitioners, contended that the petitioners are postgraduates, M.Phil and Ph.D, and  they  are  highly  qualified  and  have  acquired experience from 1987 as lecturers. When they were appointed, number of  vacancies were  available. Since  they have  been working since  1987,  they  require  to  be  regularised  by suitable directions. We find no force in the contention. The admitted  position   is  that  the  Commission  having  been entrusted with  the constitutional  duty to  select suitable candidates by  inviting applications  from the  open market, every  candidate   has   a   fundamental   right   to   seek consideration and  for selection  through open  competition. The petitioners  also have  that right.  At one  time,  they staked their  claims but  were not  selected. Therefore, the process of  recruitment through the Commission, as envisaged under  the  Constitution,  cannot  be  bypassed  by  issuing direction for  regularisation of  the services of the ad hoc persons who had come to the service through back-door entry. This Court  in  catena  of  decisions  has  deprecated  this practice of regularisation except in extra-ordinary cases by directing the  Government to  frame a  scheme and regularise Class III  and IV  services in  accordance with  the scheme. Even in  subsequent decisions,  that leverage  is not  being insisted upon. This Court in J & K Public Service Commission http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 & Ors.  vs. Dr.  Narinder Mohan  & Ors.  [(1994) SCC (L & S) 723] had  held that the Court cannot adopt hybrid process of direction to  regularise the  services bypassing  process of selection envisaged  under the  Constitution. This Court has deprecated the  Government for  exercising the  power  under Article 320  of the  Constitution taking  out the posts from the purview  of the Commission and to regularise services de hors the  Commission. Under  those circumstances,  we are of the view that the Tribunal has rightly rejected the claim to grant the relief sought for. The special  leave petitions  are accordingly dismissed subject to  the benefit  of relaxation  of age  bar till the date of  next recruitment so as to consider the cases of the petitioners along with open candidates.","The special leave petitions arise from the orders of the Administrative Tribunal made on February 20, 1996 in OA No.290/95 and batch. The petitioners were appointed  as Lecturers on  ad hoc  basis and some of them had obtained M.Phil, Ph.D. also. When the regular recruitment through the Public Service Commission [the ""Commission"", for short] was conducted, the   petitioners  also   appeared before the Commission but  they were not selected. Subsequently, the petitioners filed  petitions for  regularisation  of their services.",special leave petitions,79.34
1479," JUDGMENT O R D E R TRANSFER  PETITION (C) NO. 670 OF  2007 Transfer is made absolute in terms of prayer ‘A’ which is quoted herein below: ""Transfer the matrimonial title suit no.47 of 2007 under section 9 of HMA pending in the court of Principle Judge, Family Court, Gaya from Gaya to Family Court, Delhi at Tis Hazari."" Transfer petition  is accordingly allowed.","Transfer is made absolute in terms of prayer ‘A’ which is quoted herein below: ""Transfer the matrimonial title suit no.47 of 2007 under section 9 of HMA pending in the court of Principle Judge, Family Court, Gaya"" Transfer petition is accordingly allowed.",transfer,95.14
1480," THE 27TH DAY OF NOVEMBER, 1997. Present : Hon’ble Mr. Justice G.T. Nanavati Hon’ble Mr. Justice V.N. Khare U.R.Lalit, Sr. Adv., Ranjit Kumar, Chandra Bhushan pd., Anup G. Choudhary,  Ashok Kr. Singh, U.N. Singh, P.N. Gupta, H.S. Paul, J.  Buttar, Alok  Mahajan,  Advs.  with  him  for  the appearing parties. J U D G M E N T The following Judgment of the Court was delivered: WITH CRIMINAL APPEAL NO. 738/91 Nanavati. J, The three  appellants were  tried  alongwith  13  other accused for various offences alleged t o have been committed by them  one of  them being  the  offence  punishable  under Section 302  IPC. The  trial court convicted appellant No. 1 only and  acquitted the  other accused  including  appellant Nos. 2  and 3.  Against his  conviction, appellant No. 1 has filed an  appeal in  the High Court and it is still pending. Against the  acquittal of  appellant No.  1 for  the offence punishable under  Section 302  and against  the acquittal of rest of  the accused, Bhajan Singh and Pritam Singh, who are original informant  and his  brother respectively,  filed  a Revision petition before the High Court. It appears  that the  appeal and  the Revision petition were heard  together and  the judgment in both the cases was reserved. Thereafter,  the High  Court  thought  it  fit  to dispose of  the Revision  petition filed by Bhajan Singh and Pritam Singh  but kept  the  appeal  filed  by  After  singh Pending till  the retrial ordered by the High Court is over. Therefore, the  three  accused  against  whom  an  order  of retrial is passed have approached this court. It  is   contended  by  the  learned  counsel  for  the appellant that the order passed by the High Court is illegal inasmuch as  retrial could  not have  been  ordered  without setting aside the judgment passed by the trial court. As the appeal filed  by the  appellant No. 1 is pending in the High Court, we  do not  propose to  say anything also except that the order  passed by  the High  Court is clearly illegal. As retrial could  not have  been ordered  without setting aside http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 the order of the trial court, on that short ground alone, we allow this  appeal and  set aside  the judgement  and  order passed by the High Court. In view  of this order, Crl. A. No. 738/91 preferred by appellant Nos.  2 and  3 will  not survive. Both the appeals are disposed of accordingly. The High  Court shall  now proceed  to hear  the appeal filed by appellant No. 1 and dispose of the same on merits.","The three appellants were  tried  alongwith  13 other accused for various offences alleged t o have been committed by them. The trial court convicted appellant No. 1 only and acquitted the other accused including  appellant Nos. 2 and 3. Against his conviction, appellant 1 has filed an appeal in the High Court and it is still pending.",appointment,33.18
1481," With Criminal Appeal No. 8/91. J U D G M E N T NANAVATI,J. Both these  appeal arise  out of  the judgment  of  the andhra Pradesh  High Court  in Criminal  Appeal No. 1031/87. Criminal Appeal No. 691/90 if filed by S. Nagamalleswara (A- 3) and  S. Babu Rao (A-4). Criminal Appeal No. 8/91 is filed by V. Mankyala Rao (A-2). The appellants  have been  convicted under  Section 302 IPC  for  causing  death  of  K.  Sivaramakrishnaiah.  Their conviction is  based upon the evidence of PWs.1, 2 and 3 and the two  dying declarations  - Ex.P.15 and Ex.P.13. The High Court confirmed their conviction mainly relying upon the two dying declarations.  It held  that though PWs.1, 2 and 3 are partisan witnesses  their evidence could be utilised for the purpose of corroboration. Learned counsel  for the  appellants was  not  able  to point out  how PWs.2  and 3  who were  not  related  to  the deceased could  be regarded  as partisan witnesses. As their services were  hired for  the day  for cultivating  his land they were  with the deceased while he was returning from his field and  when the incident took place. Nothing was brought on record  to  show  that  they  has  any  enmity  with  the deceased. The  trial court  had rightly placed reliance upon their evidence.  As stated  earlier, the High Court has also relied  upon  their  evidence  though  for  the  purpose  of corroboration. The dying declaration Ex.P.15 was recorded by the Investigation officer at about 7.15 p.m. and Ex.P.13 was recorded by  the Judicial Magistrate at about 9.30 p.m. Both the dying  declarations have  been found as genuine and true and nothing could be urged by the learned counsel for taking a contrary  view. The  evidence of  PWs.2 and  3 and the two dying declarations  Ex.P.15 and  Ex.P.13  clearly  establish that the  appellants were  responsible for causing the death of K. Sivaramakrishnaiah. It  was  contended  by  the  learned  counsel  for  the appellants that  as no  injuries were  caused on  the  vital parts of  the deceased, they should not have convicted under Section 302  IPC. This contention cannot be accepted because the medical  evidence clearly  shows that  the deceased  has http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 died due to the injuries caused to him and the injuries were sufficient in  the ordinary course of nature to cause death. Though not  on the  vital parts,  the injuries  caused  were serious.  Therefore,   the  appellants   have  been  rightly convicted under Section 302 read with 34 IPC. As we  find that they have been rightly convicted these appeals are dismissed. The  appellants   were  released  on  bail  during  the pendency of  these appeal.  Their bail is cancelled and they are ordered  to  surrender  to  custody  to  serve  out  the remaining part of their sentence.","S. Nagamalleswara, S. Babu Rao and V. Mankyala Rao were convicted of causing the death of K. Sivaramakrishnaiah. The High Court confirmed their conviction mainly relying upon the two dying declarations. The medical evidence clearly shows that the deceased has died due to the injuries caused to him.",appointment,26.46
1482," JUDGMENT 2002 Supp(2) SCR 394 The following Order of the Court was delivered: Leave granted A suit for issuance of permanent preventive injunction filed by the appellant herein was decreed by the Trial Court, The defendant preferred an appeal. The First Appellate Court reversed the decree of the Trial Court and directed the suit to be dismissed. The plaintiff preferred a second appeal which has been dismissed in limine by the High Court forming an opinion that the findings arrived at by the First Appellate Court were purely findings of fact and no substantial question of law within the meaning of Section 100 CPC arose for consideration. A perusal of the judgment of the First Appellate Court shows that the plaintiff-appellant did not appear in the witness box although his special power of attorney and other witnesses were examined by the plaintiff. The First Appellate Court influenced by the non-examination of the plaintiff drew an adverse inference against him and directed the suit to be dismissed solely on the ground of non-examination of the dismissed of the plaintiff. The judgment of the First Appellate Court shows that other evidence, though available on record, did not receive the attention of the First Appellate Court at all. In our opinion, the First Appellate Court was bound to apply its mind to all the evidence available on record and then test the legality of the findings arrived at by the Trial Court. While doing so, the First Appellate Court could have taken the factum of the non-examination of the plaintiff also into consideration. The manner in which the appeal has been disposed of by the First Appellate Court cannot be said to be satisfactory. Non- application of mind by the Appellate Court to other material, though available, and consequent failure of the Appellate Court to discharge its judicial obligation, did raise a question of law having a substantial impact on the rights of the parties, and therefore, the second appeal deserved to be heard on merits. Learned counsel for the respondent has placed reliance on Ishwar Bhai. C. Patel alias Bachu Bhai Patel v. Harihar Behera & Anr., [1999] 3 SCC, 457 wherein this Court has emphasised that withholding of the plaintiff himself from the witness box and thereby denying the defendant an opportunity for cross- examination of himself results into an adverse inference being drawn against the plaintiff. That proposition of law is undoubtable. However, as we have already said, that is a fact to be kept in view and taken in to consideration by the Appellate Court while appreciating other oral and documentary evidence available on record. May be that from other evidence - oral and documentary-produced by plaintiff, or otherwise brought on record, the plaintiff has been able to discharge the onus which lay on him, and, subject to the court forming that opinion, a mere abstention of plaintiff http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 himself from the witness box may pale into insignificance. In the facts and circumstances of this case remanding the matter to High Court for re-hearing would only prolong the life of litigation. As we are satisfied of the failure on the part of the First Appellate Court in discharging its obligation-statutory and judicial, more so when it is a judgment of reversal, it would meet the ends of justice if the first appeal itself is directed to be heard afresh. The appeal is allowed. The order of the High Court dismissing the appeal in limine as also the judgment and decree of the First Appellate Court are set aside, The appeal shall stand restored on the file of the First Appellate Court which shall be heard and decided afresh, consistently with the observations made hereinabove and in accordance with law. No order as to the costs.",First Appellate Court reversed the decree of the Trial Court and directed the suit to be dismissed. The plaintiff preferred a second appeal which has been dismissed in limine by the High Court forming an opinion that the findings arrived at were purely findings of fact.,transfer,35.97
1483," O R D E R This appeal  by special  leave arises  from  the  order dated June  14, 1971  of he Division Bench of the High Court of Madras  in Appeal  against Order No. 34 and 174 and 1973. The facts are fairly clear. On April  4, 1971,  while the  deceased  Rajadurai  was driving the  motor cycle  from western  direction to eastern direction on  the National  Highway Madras  to Bangalore  at Kathur Junction,  a motor  vehicle had come in between. As a consequence, he  had taken  extreme right  to save his life. Consequently, the  but his  the motor  cycle. As a result of which he  died on the spot. The appellants are the widow and the children  of the  deceased who  was aged about 31 years. The finding of the Tribunal is that the deceased was earning Rs. 800/-  per month.  On that  basis the Tribunal awarded a sum of  Rs. 1  lakh. The  Tribunal held  that  there  was  a contributory negligence.  On that  basis, after  giving  the benefit of contributory negligence it fixed the amount at s. 1 lakh.  The High  Court reversed  the finding on the ground that the  diver of  the bust  was not  negligent. The entire negligence  was   on  the   part  of   the  deceased.  As  a consequence,  the   appellants  are   not  entitled  to  the compensation. Thus this appeal by special leave. We have  scanned the evidence and reasoning of the High Court and  the Tribunal.  Unfortunately, the  High Court has not considered  the evidence  from the  proper  perspective. Since the  driver of  the bus  equally was  driving at  high speed, greater  care was  required of  him to  see  that  no accident took  place. It would appear from the circumstances that the  deceased, with  a view to save  himself from being sandwiched between  the car  and the  bus, had  taken to the extreme right.  As a  consequence, he hit the left bumper of the bus.  It would  thus be clear that the driver of the bus equally contributed  to  the  accident.  On  the  facts  and circumstances. We  think that  negligence can be apportioned http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 as 60%  and 40%.  As a consequence, the respondent is liable to pay  compensation of  Rs. 60,000/- and Rs. 40,000/- would be foregone  by the  appellants. Under  these circumstances, the order  of the  High Court is set aside. The order of the Tribunal is  also modified.  The appellants  a entitled to a sum of  Rs. 60,000/-  with interest  at 60% from the date of the judgment  of the  Tribunal dated  November 30,  1972. It would appear  that  the  original  Insurance  Company  which insured the  vehicle having  been taken  over by  the United India Insurance Company, which is a nationalized company, is liable to pay proportionately to the extent of the insurance cover. The  appellants are  entitled to  recover the  amount from the Company and the balance from the owner. The appeal is accordingly allowed. No costs.",Widow and children of a 31-year-old died in an accident in 1971. Tribunal awarded a sum of Rs. 1 lakh. High Court reversed the finding on the ground that the diver of the bust was not negligent.,special leave petitions,52.81
1484," JUDGMENT O R D E R CRIMINAL APPEAL NO. 1150 OF 2007 (Arising out of SLP (Criminal) No. 3303 of 2006 1.      We have heard learned counsel for the parties. 2.      Leave granted. 3.      This appeal is directed against the order passed by the learned Single Judge of the High Court of Delhi in Criminal Revision Petition No. 42 of 2000 dated August 8, 2005.  The learned Single Judge dismissed the Criminal Revision Petition filed by the appellant herein by the order which reads thus; ""In spite of notice, nobody appears for the petitioner today.  Crl. Rev. P. 42/2000 is accordingly dismissed in default for non-prosecution."" 4.      The matter relates to administration of criminal justice.  As held by this Court, a criminal matter cannot be dismissed for default and it must be decided on merits.  Only on that ground the appeal deserves to be allowed. 5.      There is, however, an additional reason also.  Earlier when the petition was dismissed, the aggrieved appellant approached this Court and in Criminal Appeal No. 309 of 2002 a two-Judge Bench of this Court by an order dated February 22, 2002 allowed the appeal, set aside the order of the High Court and observed that the matter should be decided by the High Court after application of mind and by passing a reasoned order.  Unfortunately, in the impugned order, there are no reasons and the merits have not been considered at all. 6.      Hence, the appeal is allowed.  The order of the High Court is set aside and the matter is remitted back to the High Court.  The High Court will decide the matter on merits.  Since the matter is very old, we request the High Court to decide it as early as possible preferably within a period of four months. 7.      The appeal is allowed accordingly.","This appeal is directed against the order passed by the learned Single Judge of the High Court of Delhi in Criminal Revision Petition No. 42 of 2000 dated August 8, 2005. The matter relates to administration of criminal justice. As held by this Court, a criminal matter cannot be dismissed for default and it must be decided on merits.",criminal,60.15
1485," JUDGMENT O R D E R 1.      The learned counsel appearing for the appellants submits on instruction that the appellants do not wish to proceed with this appeal as the land in dispute has been purchased by one Bheru Singh, Sardar Singh and Ram Singh by a registered deed of Sale dated 22nd of October, 2007. Therefore, he submits that in view of the aforesaid fact and the dispute having been settled between the parties, the appeal shall not be proceeded with. Accordingly, the appeal is dismissed for non-prosecution. Interim orders, if there be any, stand vacated.","Land in dispute has been purchased by one Bheru Singh, Sardar Singh and Ram Singh by a registered deed of Sale dated 22nd of October, 2007. The appeal is dismissed for non-prosecution. Interim orders, if there be any, stand vacated.",transfer,41.85
1486," JUDGMENT O R D E R CIVIL  APPEAL  NO. 2042 OF 2008 [Arising out of SLP(C) No.5691/2006] Leave granted. Having heard the learned counsel for the parties, we are of the opinion that the application under Section 33C(2) of the Industrial Disputes Act, 1947 was not maintainable. Learned counsel appearing on behalf of the respondent very fairly states before us that the issue which was raised before the Labour Court was as to whether despite the availability of the workmen, the appellant-Board could refuse to take any work from them without issuing any order of termination of their services. Such an issue, in our opinion, could be the subject matter of an industrial dispute warranting  reference by the appropriate Government in terms of Section 10 of the Industrial Disputes Act.  In that view of the matter, a proceeding under Section 33C(2) of the Industrial Disputes Act was not maintainable. -2- However, the learned counsel appearing on behalf of the respondent also very fairly states that subsequently, an industrial dispute has been raised. If that be so, the contention of the respondent that the appellant-Board was bound to pay his salary for the period from June, 1997 to November, 1999 undisputedly would fall for consideration in the said reference case, being ancillary to the said reference. The appeal is allowed with the aforementioned observation and direction. No costs.","Leave granted to appeal against Industrial Disputes Act, 1947. The appeal is allowed with the aforementioned observation and direction. No costs are to be paid in this appeal.",civil,75.4
1487," O R D E R Leave granted. We  have   heard  learned   counsel  on   both   sides. Notification under  Section 4(1) of the Land Acquisition Act was published  on February  4, 1970 acquiring a large extent of land.  The Collector made the award and paid compensation which was  accepted by  the respondents  without protest. It would appear  that one  of the  claimants covered  under the same notification  sought reference under Section 18 and the District Judge,  Raigarh at  Alibag in  Reference No. 183/86 enhanced the compensation to Rs.10/- per square meter by his award and  decree dated  November 6,  1987. Against the said award and  decree, the State carried First Appeal No.1038/88 which was  admitted on February 16, 1989 and ad interim stay of the  award and  decree of  the District Court was granted subject to certain conditions. The respondents  thereon  filed  an  application  under Section 28A  (1) on  February 2, 1988 for redetermination of the amount  of compensation  to their  lands on the basis of the said  award of  the District Judge. It would appear from the record  that  the  Collector  made  a  draft  award  and referred the matter to the State Government for approval. At that stage the respondents filed a writ petition in the High Court. A  Division Bench  of the  High Court by the impugned order dated  August 24,  1992 directed  the Land Acquisition Officer to  declare the  award by  the end of November 1992. Thus this appeal by special leave. In view  of the  fact that  the award  of the Reference Court, referred  to hereinbefore,  is  already  the  subject matter of  the appeal  pending decision  in the  High Court, appropriate  course   would  be   to  keep   the   reference application made under Section 28A (1) pending till disposal of the  appeal in  the High  Court. The Collector shall take action only  on the  basis  of  the  judgment  that  may  be rendered by  the High  Court. Until then, the matter be kept pending. The  writ petition  stands dismissed subject to the above direction. The appeal is accordingly disposed of. No costs. http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2","A notification under Section 4(1) of the Land Acquisition Act was published on February 4, 1970 acquiring a large extent of land. One of the claimants covered under the same notification sought reference under Section 18 and the District Judge,  Raigarh at Alibag in Reference No. 183/86 enhanced the compensation to Rs.10 per square meter. The State carried First Appeal No.1038/88 which was admitted on February 16, 1989 and ad interim stay of the award and decree of the District Court was granted.",special leave petitions,53.98
1488," O R D E R Leave granted. We have heard learned counsel on both sides. This appeal  arises out  of the order of the Delhi High Court in  Writ Petition  No. 3695  of 1990 made on April 30, 1991. The  appellant was appointed initially on ad hoc basis on March  3, 1387  and thereafter  with a view to regularise his services, he was put on probation. During probation, his services having  been found  to be  not  satisfactory,  were terminated  by   proceedings  dated   December  1,1989.  The appellant came to challenge the same by filing writ petition in November  1990 which was dismissed by the High Court thus this Peal by special leave. It  is  contended  by  the  appellant  that  since  the averments made  in the  counter would  constitute foundation for dismissal  for misconduct, an enquiry in this behalf was required to  be made.  On the other hand, it is contended by the respondent  that during  the probation the appellant did not acquire  any right  to  the  post.  If  on  being  found suitable  he  was  regularised,  only  then  he  would  have acquired  the   right  to   Continue  in  the  post.  During probation,  it   was  found   that  his  services  were  not satisfactory and reasons were given in support thereof. Thus they do  not constitute  foundation but  active to terminate the services.  We  find  force  in  the  contention  of  the respondent. They  have explained  that the  driving  of  the staff car  was not  satisfactory and  that, therefore,  they have  terminated   the  services  of  the  appellant  during probation. The  very object  of the probation is to test the suitability and  if the  appointing authority finds that the candidate  is  not  suitable,  it  certainly  has  power  to terminate  the   services  of   the  employee.  Under  these circumstances, it  cannot  but  be  held  that  the  reasons mentioned  Constituted   motive  and   not  foundation   for termination of  service. Therefore,  we hold  that the  High http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 Court has not committed any error of law. The appeal is accordingly dismissed. No costs.","This appeal  arises out of the order of the Delhi High Court in Writ Petition  No. 3695  of 1990 made on April 30, 1991. The appellant was appointed initially on ad hoc basis on March  3, 1387  and thereafter  with a view to regularise his services, he was put on probation. During probation, it   was found   that  his  services  were not satisfactory and reasons were given in support thereof.",special leave petitions,55.49
1489," CIVIL APPELLATE JURISDICTION: Civil Appeal No. 2047  of http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 1982. 690 From  the  Judgment and Order dated 16.3.  1982  of  the Delhi High Court in Civil Rev. No. 147 of 1982. W.A. Quadri and Kailash Mehta for the Appellant. M.C. Dhingra for the Respondents. The Judgment of the Court was delivered by SABYASACHI  MUKHARJI,  J. This is an appeal  by  special leave  against the judgment and order dated the 16th  March, 1982 of the High Court of Delhi in Civil Revision No. 147 of 1982  directing eviction of the premises in  question  under Section 14(1)(e) of the Delhi Rent Control Act on the ground of  bonafide requirement of the landlord. The special  leave was  sought for and obtained from this Court on  the  ground that  Civil  Appeal No. 1051/81 and special  leave  petition (civil)  No. 2290/82 were pending at that time.  It  appears that  the said appeal has been disposed of by this Court  in Ravi Dutt Sharma v. Ratan Lal Bhargava, [1984] 2 S.C.R.  614 where this Court held that Sections 14A, 14(e), 25A, 25B and 25C of the Delhi Rent Control Act are special provisions  so far as the landlord and tenant are concerned and further  in view of the non-obstante clause in the section these  provi- sions override the existing law so far as the new  procedure is  concerned.  In  that view of the matter we  are  of  the opinion that the Slum Areas (Improvement and Clearance) Act, 1956 would have no application in cases covered by  Sections 14A and 14(1)(e) of the Delhi Rent Control Act especially in view of the provisions which were added by the Amending  Act of 1976. This  Court held that there is no difference  either  on principle or in law between section 14(1)(e) and 14A of  the Rent Act even though these two provisions relate to eviction of tenants under different situations. This Court further held that in view of the procedure in Chapter  IIIA  of  the Rent Act, the Slum  Act  is  rendered inapplicable  to the extent of inconsistency and it is  not, therefore,  necessary for the landlord to obtain  permission of  the  Competent Authority under Section 19(1)(a)  of  the Slum  Act before instituting a suit for eviction and  coming within  Section  14(1)(e)  or 14A of the Rent  Act.  In  the premises the appeal fails and is dismissed. There will be no order as to costs. 691 The  decree  for eviction shall not be  executed  before 30.11.87 provided the appellant files an undertaking in  the usual form within four weeks from today. A.P.J.                                                Appeal dismissed. 692","This is an appeal  by  special leave  against the judgment and order dated the 16th  March, 1982 of the High Court of Delhi in Civil Revision No. 147 of 1982. It appears that the said appeal has been disposed of by this Court in Ravi Dutt Sharma v. Ratan Lal Bhargava, [1984] 2 S.C.R. 614.",special leave petitions,39.72
1490," BHARUCHA., J. In  these  appeals filed by the assessee, which -is  a Hindu Undivided Family, we are concerned with the Assessment Years  1959-60  to  1965-66 and 1969-70  and  1970-71.   The question that we are required to consider reads thus: ""Whether, on the facts and in the circumstances of the case,  the  remuneration  and  commission  received  by  Sri K.S.Subbiah  Pillai  was  assessable  in the  hands  of  the assessee Hindu Undivided Family? It  may  be  mentioned  at the outset  that  the  same assessee  was  assessed in AndhraPradesh for the  Assessment Years 1966-67 to 1968-69.  The same question arose in regard to   those  assessments.   The   question  was  answered  on reference  by the High Court of Andhra Pradesh in favour  of the  assessee  and  the  Revenue did not  carry  the  matter Further. The  judgment,  of  the   Andhra  Pradesh  High  Court afore-mentioned  was c""itea before the High Court at  Madras ""in  the  reference proceedings out of which  these  appeals arise  but  the Madras High Court dissented  therefrom.   It dilated  at  length  on Hindu Law but, with  great  respect, missed  the point that the Income Tax Appellate Tribunal  is the  final  fact-finding  authority and, as  it  has  itself noticed  in  the judgment under challenge, the Tribunal  had held  that the remuneration and cornmission received by  the Karta  of  the  HUF  were earned by him on  account  of  his personal  qualifications and exertions and not on account of the  investment  of  the family funds in  the  company  and, therefore, could not be treated as the income of the HUF. The  High  Court,  having analysed  the  law,  rightly concluded  that the broad principle that emerged was whether the remuneration received by the coparcener was in substance one of the modes of return made to the family because of the investment of the family funds in the business or whether it was   compensation  made  for   services  rendered  by   the individual  coparcener.   If it was the former, it  was  the income  of  the HUF:  but if it was the latter, then it  was the  income  of  the individual coparcener.   Applying  this test,  the High Court held, ""There is absolutely no evidence http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 to support the contention of the learned counsel for the assessee  that the development of the business was due to  any peculiar qualification or experience on the part  of the assessee.  "" We  cannot agree.  Having analysed the law, as ""it did correctly,  the  High  Court should have taken note  of  the finding  recorded by the Tribunal and noticed by it earlier, namely,  that  the  remuneration and  commission  that  were earned by the Karta were earned by him on account of his personal  qualifications  and  exertions  and  not  on account  of  the  investment  of   the  family  funds   and, therefore, should have held that the -income could not be treated as the Income of the HUP. In  the result, the appeals are allowed.  The judgment and  order  under  appeal  1s set aside.   The  question  is answered  in the negative and In favour of the assessee.  No order as to costs.",The appeals were filed by a Hindu Undivided Family. The High Court of Andhra Pradesh ruled in favour of the assessee. The Madras High Court dissented therefrom.,appointment,34.84
1491," ORDER 1.   Leave granted. 2.   This  appeal arises out of an order made by  a  learned Single  Judge of the High Court of Judicature at  Madras  on 9th   November,   1993,  in   Criminal   Original   Petition No.8730/92, Crl.  M.P.No.4794/92 and Crl.M.P. 6765/92.   The learned  Judge quashed the First Information  Report,  Crime No.  246/92 of P.S. Tallakulam, in so far as the  respondent to  concerned  as also the  criminal  proceedings  emanating therefrom against him. 3.   We  have gone through the order of the  learned  Single Judge and heard learned counsel for the parties. 4.   M.S.K.Shanmugovol Chettiyar lodged a first  information report  at P.S. Tallakulam against the respondents  alleging commission of offences under Section 147/148/342/323/395/500 (ii) and 109 IPC.  Investigation was taken in hand and  some evidence  was  collected by the investigating  agency.   The respondent filed a petition under Section 482 Cr.P.C. in the High  Court  and  by the impugned  order  the  petition  was allowed and the proceedings emanating from crime case 246/92 (supra)  were quashed.  From a bare perusal of the order  of the learned single Judge it appears that while quashing  the proceedings  reliance,  has been placed upon  some  evidence collected   by   the   investigating   agency   during   the investigation.  The approach of the learned Judge in relying upon  such evidence, which is yet to be produced before  the trial  court,  to quash the criminal  proceedings  in  crime cases  No.246/92  (supra)  was not  proper.   The  power  of quashing a FIR and criminal proceedings should be  exercised sparingly  by  the Courts.  Indeed, the High Court  has  the extra-ordinary or inherent power to reach out injustice  and quash the First Information Report and criminal proceedings, keeping  in view the guidelines laid down by this  Court  in various judgments (reference in this connection may be  made with  advantage to State of Haryana & Ors. v. Bhajan  Lal  & http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 Ors.  (1992 Supp. (1) 335) but the same has to be done  with circumspection.   The normal process of the  criminal  trial cannot  be cut short in a rather casual manner.  The  Court, is  not  justified in embarking upon an enquiry  as  to  the reliability  or genuineness of the allegations made  in  the FIR of the complaint on the basis of the evidence  collected during  investigation  only while dealing  with  a  petition under  Section 432 Cr.P.C. seeking the quashing of  the  FIR and  the  criminal proceedings.  The  learned  single  Judge apparently fell into an error in evaluating the  genuineness and,  reliability of the allegations made in the FIR on  the basis  of the evidence collected during  the  investigation. The order of the learned single Judge cannot, therefore,  be sustained.   This  appeal  succeeds  and  is  allowed.   The impugned order of the High Court is hereby set aside. 5.   We  clarify  that nothing said hereinabove  or  by  the learned  single  Judge  of the High Court  in  the  impugned judgment  shall be constructed as any expression of  opinion on  the merits of the case, expressly or impliedly, and  the trial court shall deal with 168 the case uninfluenced by any of the observations made by the High Court or by this Court. 170","This appeal arises out of an order made by a learned Single Judge of the High Court of Judicature at Madras. The learned  Judge quashed the First Information  Report,  Crime No. 246/92 of P.S. Tallakulam. The power  of quashing a FIR and criminal proceedings should be exercised sparingly by the Courts.",special leave petitions,21.0
